id,status_group
43284,functional needs repair
2877,functional needs repair
21171,functional needs repair
40982,functional
48396,functional needs repair
13323,functional needs repair
28467,functional
2768,functional needs repair
73593,functional needs repair
65164,functional needs repair
69976,functional needs repair
52145,functional needs repair
49259,functional needs repair
23542,functional
69848,functional needs repair
9305,functional
14359,functional
28925,non functional
21243,non functional
10616,non functional
73667,functional needs repair
20566,functional
63711,functional needs repair
72840,non functional
31651,functional
3782,functional needs repair
6799,non functional
21402,functional needs repair
35390,functional needs repair
12636,non functional
36887,functional needs repair
20086,non functional
5634,non functional
48029,functional needs repair
29927,non functional
2930,functional needs repair
41800,functional
68349,functional needs repair
61678,non functional
30270,functional
4678,functional needs repair
9392,functional needs repair
20735,functional
49300,non functional
70339,functional needs repair
25572,functional needs repair
61445,functional needs repair
32190,functional
39189,functional
14853,functional needs repair
52207,functional
48035,functional needs repair
73122,functional needs repair
16352,functional needs repair
42721,functional
15116,non functional
7837,functional
56907,functional needs repair
46382,functional
64521,functional
67362,functional needs repair
61861,non functional
72139,functional
3398,functional needs repair
62911,functional needs repair
48152,functional needs repair
48001,functional
64118,functional needs repair
65793,functional
61557,functional
32352,functional
1830,functional
50553,functional needs repair
51961,functional
38481,functional needs repair
48371,functional
56540,functional needs repair
18142,functional needs repair
72934,non functional
39300,functional needs repair
40115,non functional
3793,functional needs repair
59318,functional needs repair
68070,functional
67527,functional needs repair
34898,functional needs repair
26592,functional needs repair
67682,functional needs repair
52394,functional needs repair
32218,functional
69045,functional needs repair
12808,functional
49250,functional needs repair
64126,functional
64903,functional needs repair
35165,functional needs repair
9543,functional needs repair
64635,functional needs repair
47929,functional
28329,non functional
67954,functional needs repair
16575,non functional
16612,functional needs repair
27003,functional needs repair
73324,functional needs repair
7043,non functional
22174,functional
19450,functional needs repair
35825,functional needs repair
9854,functional needs repair
23254,functional needs repair
72170,non functional
61999,functional needs repair
70354,functional needs repair
6877,non functional
47323,functional
48624,functional needs repair
6148,non functional
59698,functional needs repair
67268,functional
59174,non functional
68916,functional
28358,functional needs repair
57453,functional needs repair
71952,non functional
1761,functional needs repair
15234,functional needs repair
60021,functional
22567,functional
17695,functional needs repair
19872,functional needs repair
22828,non functional
34896,functional needs repair
35570,functional needs repair
41325,non functional
8831,functional needs repair
5345,functional
19379,functional needs repair
5514,functional
61654,functional needs repair
40482,functional needs repair
43123,functional needs repair
40492,functional needs repair
68733,non functional
3952,functional needs repair
70288,functional needs repair
30085,functional
65837,non functional
34752,functional
2465,functional needs repair
11466,functional needs repair
22313,functional needs repair
30179,functional needs repair
23505,functional needs repair
48424,functional
11150,functional needs repair
70368,non functional
26935,non functional
5919,functional needs repair
2134,functional needs repair
16652,functional needs repair
59302,non functional
24210,functional needs repair
6211,functional needs repair
19743,functional needs repair
10760,functional needs repair
48104,functional needs repair
50171,non functional
63137,functional
38301,functional needs repair
10948,functional
33232,functional
61415,functional needs repair
69131,non functional
73555,functional needs repair
46610,functional needs repair
20922,functional needs repair
55743,functional needs repair
19341,non functional
9588,functional needs repair
3293,functional needs repair
55490,functional needs repair
67678,functional needs repair
36119,non functional
62775,functional needs repair
68162,functional needs repair
66128,non functional
12036,functional
15739,functional needs repair
57048,functional needs repair
15825,functional needs repair
45590,functional needs repair
18055,functional needs repair
34073,functional needs repair
14860,functional
53713,functional needs repair
69327,non functional
60169,functional needs repair
26798,functional needs repair
37122,functional needs repair
45156,functional
22874,non functional
58774,functional needs repair
40092,functional needs repair
17487,functional
35886,functional needs repair
49892,non functional
66338,functional needs repair
35481,functional needs repair
4135,functional needs repair
54191,functional
31349,functional
72271,functional needs repair
48863,functional
13758,functional needs repair
33443,functional needs repair
12003,non functional
10845,functional
47,non functional
70492,functional
11346,functional
20126,functional needs repair
51000,functional needs repair
64505,functional
58329,functional needs repair
6311,non functional
22286,functional needs repair
35013,functional needs repair
6274,non functional
30904,functional needs repair
46606,functional
18461,functional needs repair
15256,functional needs repair
625,functional
42122,functional needs repair
18277,functional needs repair
68501,functional needs repair
8816,functional needs repair
62879,functional
18554,functional needs repair
27712,functional needs repair
46935,functional needs repair
57804,non functional
57711,functional
5516,functional needs repair
8305,functional
57410,non functional
51412,functional needs repair
25863,functional needs repair
35994,functional needs repair
55279,functional needs repair
74102,functional
38277,functional needs repair
1998,functional needs repair
52056,non functional
63679,functional needs repair
71762,functional
71432,functional needs repair
45592,functional
13663,non functional
62227,functional needs repair
3730,functional needs repair
2451,functional needs repair
46418,non functional
45996,functional needs repair
60911,functional needs repair
46089,functional needs repair
65579,functional needs repair
40407,non functional
66663,functional
26597,functional
50540,functional
58133,functional needs repair
1493,non functional
31503,non functional
17910,functional needs repair
19466,functional
38120,functional
66553,functional needs repair
31696,functional
51318,functional needs repair
33584,functional needs repair
48678,functional
36112,functional needs repair
6294,non functional
40612,non functional
62793,functional
58090,functional
2532,functional needs repair
38865,functional needs repair
35462,functional needs repair
51709,functional needs repair
40624,functional needs repair
41745,functional needs repair
42315,functional
38952,functional needs repair
45540,non functional
73833,functional
27771,non functional
9336,non functional
12545,functional
54811,functional needs repair
48326,functional
31787,functional needs repair
61745,non functional
42091,functional needs repair
43727,functional needs repair
46917,functional
26718,functional needs repair
3138,functional needs repair
72932,functional needs repair
25707,non functional
68580,non functional
25064,functional needs repair
7624,functional needs repair
3830,functional needs repair
13458,functional needs repair
57377,functional needs repair
37294,functional needs repair
39561,functional
23237,functional needs repair
72484,functional needs repair
56490,functional needs repair
13706,functional needs repair
43035,functional needs repair
14084,functional needs repair
55875,non functional
17299,non functional
1793,functional
70943,non functional
65720,functional
49165,functional
18879,functional needs repair
3574,functional
56735,functional
45481,functional needs repair
51772,functional needs repair
74095,functional needs repair
54000,functional needs repair
34834,functional needs repair
50175,functional needs repair
35733,functional
6808,functional
27311,functional needs repair
73303,functional needs repair
70335,functional needs repair
2691,functional
12582,functional needs repair
49536,functional needs repair
23715,functional needs repair
45445,functional needs repair
52609,functional needs repair
35087,functional needs repair
42767,non functional
24373,functional needs repair
32895,functional needs repair
9328,functional needs repair
23275,non functional
20054,non functional
8378,functional
47432,functional needs repair
49863,functional
57828,functional needs repair
31169,functional needs repair
38382,functional needs repair
31205,functional
23528,non functional
26507,functional needs repair
67091,functional
47734,functional
927,functional needs repair
48521,non functional
16963,functional needs repair
48233,non functional
58989,functional
2399,functional needs repair
23530,functional needs repair
46271,non functional
71726,functional
23526,functional needs repair
49861,non functional
22619,non functional
41264,non functional
20623,functional
35694,functional needs repair
68210,functional needs repair
13446,functional needs repair
11321,functional needs repair
56312,functional needs repair
19533,functional needs repair
7275,non functional
48614,functional
65873,functional
9008,functional
36817,functional
25767,functional needs repair
38460,functional needs repair
16756,functional needs repair
13310,functional needs repair
36514,functional
57548,functional
2809,functional
70632,functional
17260,non functional
27950,functional needs repair
40629,functional needs repair
64155,functional
50640,functional needs repair
67355,functional needs repair
32132,non functional
70868,functional needs repair
45823,non functional
19985,functional needs repair
61834,non functional
54171,functional
62763,functional needs repair
42408,functional needs repair
13151,functional needs repair
28311,functional
57775,non functional
37603,non functional
56357,functional needs repair
37845,non functional
57177,functional
12821,functional needs repair
8193,non functional
49031,functional needs repair
14011,functional needs repair
33708,functional needs repair
68898,non functional
37198,functional needs repair
11151,non functional
22264,functional
49694,functional needs repair
47318,non functional
46108,functional needs repair
28297,functional needs repair
36340,functional needs repair
26987,non functional
5766,functional
25979,non functional
73021,functional
11908,functional needs repair
47496,functional
61777,functional needs repair
47591,functional needs repair
8968,functional needs repair
45656,functional
39630,functional
2786,non functional
958,functional needs repair
55843,functional needs repair
52074,non functional
23422,functional
55802,functional needs repair
61634,functional
1625,functional
37398,non functional
51011,functional needs repair
49595,functional
22486,functional needs repair
22916,functional needs repair
45204,functional needs repair
74223,functional
35533,functional
30595,functional
47319,functional needs repair
32555,functional needs repair
9520,functional needs repair
53253,functional needs repair
36436,non functional
15036,functional needs repair
23175,non functional
41998,functional
19345,functional needs repair
1198,functional needs repair
39848,functional needs repair
39278,functional needs repair
39844,functional needs repair
17332,functional needs repair
51287,functional needs repair
49514,functional needs repair
64288,functional
41782,functional needs repair
54572,functional needs repair
68079,functional needs repair
68017,functional needs repair
66705,functional
5274,functional needs repair
58230,functional needs repair
51010,functional needs repair
46242,functional needs repair
1917,functional needs repair
9361,functional needs repair
33043,functional needs repair
56633,non functional
57518,functional
51128,non functional
4388,functional needs repair
62267,functional needs repair
72473,functional needs repair
70957,functional needs repair
35399,functional
33236,functional
73183,functional needs repair
52939,functional
66929,functional needs repair
54326,functional needs repair
16343,functional
33013,functional needs repair
60384,non functional
41074,functional needs repair
71997,functional needs repair
35190,functional needs repair
3425,functional needs repair
4335,functional needs repair
7399,functional needs repair
46431,functional needs repair
40845,functional needs repair
27347,functional needs repair
10981,functional
36447,functional needs repair
67485,functional needs repair
11220,functional needs repair
45857,functional needs repair
21806,functional
8771,functional needs repair
45535,functional needs repair
8671,functional needs repair
2252,non functional
58078,functional needs repair
61068,non functional
69204,functional
28326,functional needs repair
46930,functional needs repair
52104,functional needs repair
31732,functional needs repair
21584,functional needs repair
17045,functional
14404,functional needs repair
34699,functional
39930,non functional
38744,functional needs repair
4339,functional needs repair
54735,functional needs repair
51916,non functional
58114,functional needs repair
28339,functional needs repair
52048,functional needs repair
66497,non functional
18353,functional
16701,functional needs repair
59499,non functional
66042,non functional
43965,functional needs repair
48361,functional needs repair
70766,functional needs repair
9510,functional
28586,functional
28521,functional needs repair
18050,functional
73151,functional needs repair
45011,functional needs repair
64380,functional needs repair
66896,functional needs repair
40184,functional
67207,non functional
70178,functional
54063,functional needs repair
39252,functional needs repair
53773,functional needs repair
47931,functional needs repair
44168,non functional
66540,non functional
54089,non functional
29244,non functional
27525,functional needs repair
58991,functional needs repair
18087,functional needs repair
67803,functional needs repair
48006,functional
11788,functional
16100,functional needs repair
16382,functional
21208,functional
8637,functional needs repair
67008,functional needs repair
67914,functional needs repair
7041,non functional
43181,non functional
26191,non functional
14766,functional
49812,functional needs repair
12705,functional
25422,non functional
9399,functional needs repair
4239,functional
49442,functional needs repair
32,functional needs repair
11443,functional needs repair
15492,functional needs repair
63498,functional needs repair
12708,non functional
19483,functional needs repair
31204,functional
33445,functional needs repair
40820,functional needs repair
10279,functional needs repair
46718,functional needs repair
39000,functional
45897,non functional
62154,functional needs repair
50034,functional needs repair
11853,functional needs repair
40426,functional
41168,functional needs repair
58978,functional needs repair
31363,functional needs repair
32736,functional needs repair
29058,functional
23824,functional needs repair
61885,non functional
59187,non functional
73243,functional
62915,functional needs repair
1784,non functional
65951,functional needs repair
20661,functional needs repair
55504,functional needs repair
66975,non functional
72057,functional
49331,functional needs repair
52682,functional needs repair
37859,functional needs repair
10460,functional needs repair
12407,functional
69993,functional needs repair
13012,functional needs repair
70896,non functional
13264,functional
51824,functional needs repair
60216,functional needs repair
57481,non functional
3996,functional needs repair
24854,functional needs repair
43420,functional needs repair
70468,non functional
38305,non functional
57179,functional needs repair
70388,functional
67589,functional
69974,functional
8854,functional
71663,non functional
69272,functional
49119,functional needs repair
15638,functional needs repair
9086,functional
56422,functional needs repair
39106,functional
4515,functional needs repair
48594,functional
63779,functional
60740,functional needs repair
61242,functional
65001,functional
2601,functional
52456,functional needs repair
21873,non functional
25505,non functional
21890,functional needs repair
52336,non functional
57756,functional needs repair
45465,functional needs repair
4989,functional needs repair
51585,functional needs repair
50533,functional needs repair
54866,non functional
23793,functional needs repair
50135,non functional
26549,functional needs repair
66920,functional needs repair
35517,functional needs repair
390,functional
13645,functional needs repair
39327,functional needs repair
58900,functional
2100,functional needs repair
31521,non functional
277,functional needs repair
33937,functional needs repair
42545,functional needs repair
7614,functional needs repair
46861,functional
35278,functional
71773,functional needs repair
52392,functional needs repair
47229,functional needs repair
10716,non functional
13923,functional needs repair
42206,non functional
965,functional
66646,functional needs repair
17301,functional
21533,functional needs repair
37797,functional needs repair
19241,functional needs repair
15296,functional needs repair
41472,functional needs repair
73859,functional
20153,functional
71684,functional needs repair
8321,functional
68979,functional
48850,functional needs repair
64251,functional needs repair
3583,functional
33326,non functional
8500,non functional
67047,functional needs repair
24896,functional needs repair
39527,functional needs repair
3089,functional needs repair
66477,functional needs repair
24107,functional needs repair
7823,functional needs repair
32016,functional
35048,non functional
70580,non functional
47503,functional needs repair
37357,functional needs repair
1195,non functional
52309,non functional
19655,functional
39455,functional needs repair
52757,functional
62729,non functional
24324,functional needs repair
51298,non functional
17127,functional needs repair
28152,functional
14259,functional
47461,functional
65878,functional needs repair
58913,non functional
70035,non functional
37446,functional needs repair
30337,functional
57584,functional needs repair
67193,functional needs repair
62103,functional needs repair
22896,functional needs repair
5934,non functional
61722,functional needs repair
9299,non functional
68558,functional needs repair
51165,functional needs repair
8657,functional needs repair
54952,functional needs repair
53160,functional needs repair
17393,functional
33016,functional needs repair
25929,functional needs repair
41102,functional needs repair
11093,functional needs repair
52744,functional needs repair
23484,functional needs repair
13139,functional needs repair
55439,non functional
41539,functional
47692,functional needs repair
60165,functional
64683,functional needs repair
7089,functional needs repair
13516,functional needs repair
47720,functional needs repair
22588,functional needs repair
28580,non functional
9075,non functional
25066,functional needs repair
28284,functional needs repair
67568,functional needs repair
64823,non functional
8243,functional needs repair
2556,functional needs repair
58746,non functional
18288,functional
72822,non functional
5178,functional needs repair
66294,functional
14451,functional needs repair
48600,functional needs repair
27513,functional needs repair
36889,functional needs repair
663,functional
10646,non functional
35103,non functional
50804,functional needs repair
29635,functional
47604,functional
49844,functional needs repair
69068,functional needs repair
43074,functional needs repair
71088,non functional
40470,functional needs repair
21920,functional needs repair
51415,functional needs repair
15480,functional needs repair
21881,functional needs repair
7780,functional needs repair
24908,functional needs repair
53915,functional
54560,functional needs repair
15498,functional
20446,functional
5886,functional needs repair
52883,non functional
30892,functional
37432,non functional
42574,functional needs repair
61505,functional needs repair
44827,functional
5951,functional
48991,functional needs repair
22821,functional needs repair
46478,functional needs repair
19831,functional needs repair
49317,functional needs repair
18472,functional needs repair
58686,functional
47419,non functional
44921,functional needs repair
55024,non functional
28971,non functional
8108,functional needs repair
32182,functional
40513,functional needs repair
372,non functional
49297,functional
24407,functional needs repair
44874,non functional
25119,functional needs repair
3882,functional needs repair
73443,functional needs repair
56056,functional needs repair
22035,functional needs repair
46318,functional needs repair
20802,functional needs repair
41941,non functional
12044,functional needs repair
47262,functional needs repair
19337,functional needs repair
38688,functional needs repair
45341,functional needs repair
55661,functional needs repair
32322,functional needs repair
41912,non functional
26136,non functional
13480,non functional
62035,functional needs repair
50343,functional needs repair
68537,functional needs repair
52293,functional
17764,functional needs repair
67862,functional needs repair
38933,functional needs repair
68514,functional
65335,functional
27469,non functional
31290,non functional
72594,functional needs repair
2854,functional needs repair
19679,functional needs repair
46470,functional needs repair
9931,functional
39214,functional
3982,functional needs repair
29633,functional needs repair
50872,functional needs repair
31969,functional needs repair
51280,functional needs repair
63438,functional
52302,functional needs repair
44486,functional
4641,non functional
47724,functional needs repair
4393,functional needs repair
54938,functional needs repair
66983,functional needs repair
55870,non functional
62561,functional needs repair
7975,functional
9418,functional needs repair
4929,functional
68311,functional needs repair
15225,functional needs repair
51854,functional
40247,functional needs repair
37958,functional needs repair
19319,functional needs repair
27495,functional needs repair
20111,functional
33231,functional needs repair
44772,functional needs repair
53237,functional needs repair
23279,functional needs repair
66738,functional needs repair
73053,functional
31190,functional
54820,functional needs repair
54173,functional needs repair
40904,functional needs repair
43729,functional needs repair
63132,functional needs repair
65274,functional needs repair
2012,functional needs repair
70647,functional needs repair
6067,functional needs repair
47835,functional needs repair
14510,non functional
34536,functional needs repair
50168,functional
65018,functional needs repair
4960,functional needs repair
19291,functional needs repair
11480,non functional
74179,functional
46276,functional needs repair
69469,functional needs repair
51844,functional needs repair
13340,functional
34046,functional needs repair
72429,non functional
60034,functional
36173,functional needs repair
66575,functional needs repair
33778,functional needs repair
52807,functional
37283,non functional
53688,functional needs repair
54777,non functional
10363,functional needs repair
42685,functional needs repair
29334,functional needs repair
17320,functional needs repair
7060,non functional
3905,non functional
14607,functional
59091,functional needs repair
44927,non functional
59415,functional needs repair
59722,non functional
49411,non functional
40903,functional needs repair
64786,functional needs repair
36207,functional needs repair
61178,functional needs repair
55377,functional
34300,functional needs repair
29483,functional
58576,functional
37659,functional needs repair
63873,functional needs repair
55723,functional
9950,functional needs repair
49680,functional
30329,functional needs repair
64912,functional
21165,functional
42112,functional
25108,functional needs repair
55021,functional
14319,non functional
23587,functional needs repair
27217,functional
62333,functional needs repair
3284,functional
38299,functional needs repair
35668,non functional
10228,functional
67801,functional needs repair
63324,functional
33451,functional
46306,functional
37149,functional
29770,non functional
14731,functional
7963,functional needs repair
55945,non functional
7645,functional needs repair
7244,functional
40114,functional
37615,functional
54151,functional needs repair
64712,functional needs repair
40499,functional needs repair
71171,non functional
20712,functional needs repair
20187,functional needs repair
12383,functional needs repair
33364,functional needs repair
9646,functional needs repair
12201,non functional
1782,non functional
42747,functional needs repair
12125,functional
53260,functional
55023,functional needs repair
7865,functional needs repair
66269,functional needs repair
45049,functional needs repair
4988,functional
17387,functional
41771,functional needs repair
44806,functional
9157,functional needs repair
70881,functional needs repair
59951,functional needs repair
47581,functional needs repair
14986,functional
71499,functional needs repair
32928,functional needs repair
11934,functional needs repair
54065,functional
25479,functional
38302,functional needs repair
32973,functional needs repair
52140,functional needs repair
51060,functional needs repair
33106,functional needs repair
55127,functional needs repair
8640,functional needs repair
43117,functional needs repair
9966,functional needs repair
11183,non functional
72250,functional needs repair
50586,functional needs repair
48093,functional
37435,non functional
9379,functional needs repair
65657,non functional
34535,functional
26262,functional needs repair
14458,functional needs repair
33972,functional needs repair
40238,functional
70610,non functional
47960,functional
71481,functional needs repair
10946,functional needs repair
68239,functional needs repair
56314,non functional
20772,functional needs repair
41027,functional needs repair
57639,functional needs repair
42841,functional
8016,functional
38349,functional needs repair
68114,non functional
53733,functional needs repair
53513,functional
50420,non functional
31043,non functional
11436,functional needs repair
66544,functional
66297,functional needs repair
9975,functional needs repair
21663,non functional
66747,functional needs repair
8343,functional needs repair
43675,functional needs repair
12325,functional
27609,functional needs repair
70092,functional needs repair
4092,functional needs repair
60469,functional needs repair
15869,functional
31689,functional
40197,functional needs repair
35039,functional needs repair
19866,functional needs repair
65864,functional needs repair
54111,functional needs repair
65616,functional
24954,functional
55924,functional
48299,functional needs repair
51679,non functional
7861,functional needs repair
74037,functional needs repair
2367,functional needs repair
60329,functional
16467,non functional
36876,functional needs repair
42906,functional needs repair
58855,functional needs repair
48072,functional
34861,functional needs repair
38446,functional needs repair
25076,functional needs repair
42010,functional needs repair
27880,functional needs repair
49961,functional
32989,functional needs repair
17483,non functional
54815,functional
16359,functional needs repair
54840,functional needs repair
6252,non functional
46589,functional needs repair
65044,non functional
52749,functional needs repair
31792,functional needs repair
72814,functional needs repair
19523,functional needs repair
32936,functional needs repair
28011,functional needs repair
49940,functional
21296,functional needs repair
57692,non functional
60900,functional
69726,functional
4707,functional needs repair
5501,functional needs repair
37805,non functional
20466,non functional
915,functional needs repair
15844,functional needs repair
60509,functional
22552,functional needs repair
47386,functional needs repair
8521,functional
54730,functional
58417,functional needs repair
11731,functional needs repair
40490,functional needs repair
17385,functional needs repair
63184,functional
45621,functional needs repair
42679,non functional
64602,functional
33317,functional
38658,functional needs repair
64299,functional needs repair
36030,functional needs repair
18940,non functional
45669,functional
19668,functional
44209,functional needs repair
73269,non functional
72767,functional needs repair
68471,functional needs repair
907,functional needs repair
57724,functional
19492,functional needs repair
18247,functional needs repair
61793,functional needs repair
68182,non functional
69769,functional
1580,functional
9327,functional needs repair
18330,non functional
9250,functional
29932,non functional
22830,non functional
58200,non functional
30920,functional needs repair
9138,functional needs repair
50234,functional
54691,functional needs repair
16393,functional needs repair
56549,functional needs repair
9832,functional
31881,functional needs repair
12886,non functional
58897,functional needs repair
830,functional
15950,functional needs repair
26265,non functional
46220,functional needs repair
22347,non functional
2860,functional needs repair
19021,functional needs repair
3484,functional needs repair
30298,functional needs repair
39782,functional needs repair
74005,functional
5674,functional needs repair
9381,functional needs repair
3895,non functional
1673,non functional
29551,non functional
41475,non functional
67870,functional needs repair
2791,functional needs repair
42255,functional needs repair
67164,functional needs repair
12440,functional
13193,non functional
60880,functional needs repair
71008,functional needs repair
67514,functional needs repair
34910,functional needs repair
383,functional needs repair
23977,functional needs repair
70543,functional needs repair
2906,functional needs repair
33810,functional needs repair
10021,non functional
46730,functional
1663,functional needs repair
2408,functional
72505,functional needs repair
65019,functional needs repair
42313,functional needs repair
340,non functional
50285,non functional
3409,functional needs repair
26378,functional needs repair
47552,functional needs repair
32262,functional needs repair
58637,functional needs repair
34827,functional
63294,functional
44867,non functional
26751,functional
66574,non functional
39354,non functional
21479,functional needs repair
57899,functional needs repair
60079,functional needs repair
62070,functional needs repair
20628,non functional
11344,functional
62122,functional needs repair
51867,functional needs repair
51667,functional needs repair
16857,functional needs repair
27022,non functional
10438,functional needs repair
57755,functional needs repair
22384,functional
3380,functional
41843,non functional
35208,functional needs repair
37152,functional needs repair
47925,functional needs repair
43946,functional needs repair
2932,functional
11829,non functional
59013,functional
48338,functional needs repair
71276,functional
62998,functional needs repair
6708,functional
9969,functional needs repair
5567,functional needs repair
61598,functional
20745,functional
72485,functional needs repair
53890,functional
62984,functional needs repair
56024,functional needs repair
64958,functional needs repair
36386,functional needs repair
12970,functional needs repair
63672,non functional
1545,non functional
68416,functional needs repair
53929,functional needs repair
59291,non functional
20931,functional needs repair
18781,functional needs repair
15430,non functional
54042,functional needs repair
56896,functional needs repair
2579,functional
65982,non functional
8486,functional needs repair
15871,functional needs repair
36433,functional needs repair
65239,functional needs repair
42513,functional needs repair
63248,functional needs repair
2959,functional needs repair
64833,functional
54346,functional needs repair
12284,functional needs repair
18056,non functional
9415,non functional
10574,functional needs repair
67761,functional needs repair
2413,non functional
60358,functional needs repair
72803,functional
71644,functional needs repair
43929,non functional
23370,functional needs repair
38121,functional needs repair
71352,functional needs repair
26630,functional needs repair
72503,functional needs repair
36667,non functional
13838,functional needs repair
73762,non functional
56917,functional needs repair
64901,non functional
11878,functional needs repair
11761,functional needs repair
22410,functional needs repair
29102,functional needs repair
36539,functional needs repair
9758,functional needs repair
28981,non functional
56273,non functional
35854,functional needs repair
38840,functional needs repair
32235,functional
36097,functional
54661,functional needs repair
61700,functional needs repair
71556,non functional
9296,non functional
26823,functional needs repair
45401,functional needs repair
862,functional needs repair
12857,non functional
60984,functional needs repair
68476,functional
18299,functional needs repair
48846,non functional
6446,non functional
63522,functional needs repair
66298,functional needs repair
39348,functional
25325,non functional
38166,functional needs repair
10753,functional needs repair
6496,non functional
66416,functional needs repair
47968,functional needs repair
30436,non functional
53608,functional
66036,functional needs repair
46595,non functional
18890,functional needs repair
1978,functional
10656,functional
69297,functional
43482,non functional
43158,functional
18733,functional
27893,functional
72342,functional
37520,non functional
11453,functional needs repair
39911,functional needs repair
51620,functional
18133,functional needs repair
4572,functional
55691,functional needs repair
42966,functional
66569,functional needs repair
7200,non functional
53136,functional needs repair
25723,non functional
66123,functional
7672,functional needs repair
37943,functional
2142,functional needs repair
66405,functional needs repair
13101,non functional
73963,functional needs repair
26444,functional needs repair
19007,functional needs repair
71761,functional needs repair
1467,functional needs repair
35518,functional needs repair
32922,functional needs repair
43852,functional needs repair
29438,functional needs repair
56706,non functional
39407,non functional
58835,non functional
43397,functional needs repair
9994,functional
7622,functional needs repair
34194,functional needs repair
13045,functional needs repair
32959,non functional
50876,functional needs repair
31094,functional needs repair
37473,functional
61430,functional needs repair
47922,functional needs repair
52355,non functional
65517,functional needs repair
42861,non functional
59615,functional
28406,functional needs repair
3716,functional
219,functional
2079,functional
3612,functional
50670,functional needs repair
33118,functional needs repair
25722,functional needs repair
56582,functional
7760,functional
39295,functional needs repair
68787,functional needs repair
64264,non functional
35160,functional
49452,functional needs repair
53668,functional needs repair
67380,functional needs repair
45974,functional needs repair
11062,functional needs repair
27946,non functional
50414,functional needs repair
38773,non functional
39624,functional
72477,non functional
61146,non functional
22496,functional
39554,non functional
23463,non functional
26384,non functional
42071,functional needs repair
38972,functional needs repair
44617,non functional
32282,functional
8586,functional needs repair
36903,functional
55556,functional needs repair
21436,functional needs repair
17030,functional needs repair
51806,non functional
44903,non functional
1957,functional needs repair
20102,functional needs repair
39391,functional needs repair
10871,functional
67815,functional needs repair
19183,functional needs repair
17711,functional needs repair
59743,functional
11844,functional
40062,functional needs repair
40682,functional
71690,functional needs repair
22833,functional needs repair
16908,non functional
43496,functional needs repair
62050,non functional
65634,non functional
